Course Code,Course Title,Cr_Hrs,Session,Instructor,Day and Time
CHE 401A LAB 1,Chemical Engineering Lab - V,1.0,16W,"Rofice Dickson, Qandeel Almas",M 09:30AM-12:20PM
CHE 401B LAB 1,Chemical Engineering Lab - VI,1.0,16W,"Qasim Imtiaz, Ali Rauf",F 09:00AM-11:50AM
CHE 413 LEC 1,Process Optimization,3.0,16W,Rofice Dickson,TR 04:00PM-05:15PM
CHE 422 LEC 1,Chemical Process Safety,2.0,16W,Faheem Hassan Akhtar,MW 10:00AM-10:50AM
CHE 710 LEC 1,Transport processes in Env. Engg.,3.0,16W,Shahana Khurshid,TR 03:00PM-04:15PM
CHEM 101 LEC 1,Principles of Chemistry,3.0,16W,Basit Yameen,MW 03:30PM-04:45PM
CHEM 101 LEC 2,Principles of Chemistry,3.0,16W,Habib-ur- Rehman,TR 04:30PM-05:45PM
CHEM 221 LEC 1,Molecular Symmetry I,3.0,16W,Ghayoor Abbas Chotana,MW 02:30PM-03:45PM
CHEM 231 LEC 1,Fundamentals of Organic Chemistry,3.0,16W,Irshad Hussain,TR 02:30PM-03:45PM
CHEM 314 LEC 1,Quantum Chemistry,3.0,16W,Habib-ur- Rehman,TR 12:00PM-01:15PM
CHEM 324 LEC 1,Inorganic Chemistry I,3.0,16W,Ghayoor Abbas Chotana,TR 03:00PM-04:15PM
CHEM 332 LEC 1,Chemistry of the Organic Functional Groups,3.0,16W,Rahman Shah Zaib Saleem,TR 01:30PM-02:45PM
CHEM 342 LEC 1,Analytical Chemistry I,3.0,16W,"Falak Sher, Muhammad Saeed",MW 04:30PM-05:45PM
CHEM 410 LEC 1,Physical Chemistry Lab,2.0,16W,Habib-ur- Rehman,F 11:00AM-11:50AM
CHEM 410 LAB 1,Physical Chemistry Lab,2.0,16W,Habib-ur- Rehman,W 12:30PM-03:20PM
CHEM 430 LEC 1,Organic Chemistry Lab II,2.0,16W,Muhammad Saeed,F 12:00PM-12:50PM
CHEM 430 LAB 1,Organic Chemistry Lab II,2.0,16W,Muhammad Saeed,M 01:00PM-03:50PM
CHEM 503 LEC 1,Experimental Methods in Chemical Research,3.0,16W,Ghayoor Abbas Chotana,F 03:00PM-03:50PM
CHEM 503 LAB 1,Experimental Methods in Chemical Research,3.0,16W,"Irshad Hussain, Habib-ur- Rehman, Ghayoor Abbas Chotana",M 08:00AM-01:50PM
CHEM 516 LEC 1,Characterization Techniques for Materials,3.0,16W,"Irshad Hussain, Habib-ur- Rehman, Salman Noshear Arshad",TR 10:00AM-11:15AM
CHEM 521 LEC 1,Advanced Inorganic Chemistry I,3.0,16W,Ghayoor Abbas Chotana,TR 08:00AM-09:15AM
CHEM 531 LEC 1,Advanced Organic Chemistry I,3.0,16W,Irshad Hussain,TR 01:00PM-02:15PM
CHEM 532 LEC 1,Chemistry of Biomolecule,3.0,16W,Muhammad Saeed,TR 03:00PM-04:15PM
CHEM 721 LEC 1,Selected Topics in Inorganic Chemistry,3.0,16W,Ghayoor Abbas Chotana,TR 12:00PM-01:15PM
CHEM 731 LEC 1,Selected Topics in Organic Chemistry,3.0,16W,Irshad Hussain,TR 08:00AM-09:15AM
CLCS 1000 LEC 1,Engaging with Texts and Contexts,4.0,16W,Maryam Wasif Khan,MW 11:30AM-01:20PM
CLCS 2113 LEC 1,Western Canon I,4.0,16W,Maryam Wasif Khan,TR 12:00PM-01:50PM
CLCS 2119 LEC 1,Mechanics of Fiction,4.0,16W,Bilal Tanweer,TR 02:00PM-03:50PM
CLCS 2122 LEC 1,Urdu Afsana,4.0,16W,Zia Ul Hassan,TR 04:30PM-06:20PM
CLCS 2123 LEC 1,Aesthetics of Modern Urdu Nazm,4.0,16W,Nasir Abbas,TR 12:00PM-01:50PM
CLCS 2514 LEC 1,Qavvali,4.0,16W,Ghulam Moeenuddin,WF 04:30PM-06:20PM
CLCS 3127 LEC 1,The Indomitable Fiction: The Dastan e Amir Hamza,4.0,16W,Fatima Fayyaz,TR 04:00PM-05:50PM
CLCS 3211 LEC 1,Film and Screen Studies Research Seminar,4.0,16W,Zebunnisa Hamid,MW 02:00PM-03:50PM
CLCS 3324 LEC 1,The Craft of Translation,4.0,16W,Bilal Tanweer,MW 04:00PM-05:50PM
CS 100 LEC 1,Computational Problem Solving,3.0,16W,Shafay Shamail,TR 04:00PM-04:50PM
CS 100 LAB 1,Computational Problem Solving,3.0,16W,Shafay Shamail,T 10:00AM-12:50PM
CS 100 LEC 2,Computational Problem Solving,3.0,16W,Maryam Mustafa,TR 05:00PM-05:50PM
CS 100 LAB 2,Computational Problem Solving,3.0,16W,Maryam Mustafa,T 01:00PM-03:50PM
CS 100 LEC 3,Computational Problem Solving,3.0,16W,Nadeem Ahmad Khan,TR 09:00AM-09:50AM
CS 100 LAB 3,Computational Problem Solving,3.0,16W,Nadeem Ahmad Khan,M 11:30AM-02:20PM
CS 100 LEC 4,Computational Problem Solving,3.0,16W,Malik Jahan Khan,TR 08:00AM-08:50AM
CS 100 LAB 4,Computational Problem Solving,3.0,16W,Malik Jahan Khan,F 02:00PM-04:50PM
CS 100 LEC 5,Computational Problem Solving,3.0,16W,Maryam Mustafa,MW 04:00PM-04:50PM
CS 100 LAB 5,Computational Problem Solving,3.0,16W,Maryam Mustafa,R 01:00PM-03:50PM
